id,arrival,age,gj,aptitude,school,group
1,28,68,136,3,6,Older
2,8,46,170,4,6,Young
3,11,51,181,5,12,Young
4,20,59,132,5,14,Older
5,23,60,139,10,12,Young
6,22,56,153,8,14,Older
7,30,75,141,5,17,Older
8,27,50,147,9,18,Older
9,27,64,175,9,17,Older
10,9,54,198,4,16,Young
11,11,57,194,8,16,Young
12,13,58,196,4,20,Young
13,27,67,170,4,18,Older
14,27,66,126,4,16,Older
15,23,63,110,3,8,Older
16,26,66,119,5,8,Older
17,21,60,134,5,6,Older
18,23,62,118,6,8,Older
19,17,56,167,4,18,Young
20,4,53,193,5,18,Young
21,1,40,199,4,18,Young
22,25,65,122,2,12,Older
23,3,49,197,4,16,Young
24,10,55,194,2,20,Young
25,12,28,195,2,16,Young
